"word","x","y"
"abandonment",-0.0911950957115781,0.845451522789369
"abhorrence",0.454314460541547,0.128709450870294
"acceptance",-0.658282696048233,-0.659873054700925
"adoration",-0.412935150461801,-0.866692441619927
"affection",-0.361624379859069,-0.743686045889365
"aggravation",0.517539680351911,0.215958506165101
"agitation",0.659697447100923,0.307470876631846
"agony",0.355765145997146,0.504866875427936
"alarm",0.845874652405752,-0.45140167670758
"alertness",0.445233999980839,-0.838826733484123
"alienation",0.308194704010884,0.470891875688927
"amazement",0.0343725400472842,-1.05082909794063
"amusement",0.103480757235796,-1.09690133272441
"anger",0.728686547913751,0.206502437757383
"anguish",0.397741513308396,0.30512591773886
"annoyance",0.549632702812861,0.17500863470377
"anxiety",0.454079380531432,0.307579818814437
"apprehension",0.0948168149348138,0.0650329101968014
"approval",-0.516687300466676,-0.736632010896911
"arousal",0.299312367266638,-0.932813195177155
"astonishment",0.0478616038790207,-0.803733979195022
"attraction",-0.192970206685542,-1.06036823345547
"aversion",0.0466478519049271,0.322186490151273
"awe",0.0215955514060603,-0.85099996068037
"belligerence",-0.304159565712847,0.32136326171267
"bitterness",0.279808771928343,0.494973194129423
"bliss",-0.311054461637519,-0.998409763999726
"boredom",-0.524872748448415,0.632316380846349
"calmness",-0.954660463356989,-0.234715073573867
"carefreeness",-0.468936866360319,-0.70945488142966
"carefulness",-0.711624476944919,-0.28677102353585
"caring",-0.58438962493594,-0.71410257352479
"cheerfulness",-0.376356203262992,-1.02813413166262
"compassion",-0.587990298033663,-0.562999878961824
"complacency",-0.59273344984957,0.120932948931374
"contempt",-0.496554250809348,0.1624659963038
"contentment",-0.53028818172794,-0.611687744788064
"craving",0.215231476537557,-0.778646603452112
"defeat",0.116604311609091,0.442511886345659
"dejection",0.188928536127226,0.542009699961178
"deliberateness",-0.316432469430429,-0.568958958794083
"delight",-0.472886312276518,-0.883212394632765
"demoralization",0.112093912565238,0.520168024596465
"depression",-0.177576851842229,0.651128869568327
"desire",-0.0494135368526011,-0.852032149024091
"despair",0.0920315372655333,0.486818968379029
"despondency",-0.153028378418828,0.369860105024833
"determination",0.105034201176146,-0.777147407106961
"disappointment",0.0008888209511546,0.541806747532612
"discomfort",0.201307618319842,0.465821976426036
"disconsolateness",-0.0445492732306736,0.435232038778686
"discontentment",0.0509475198720531,0.433638810746877
"discouragement",0.101524325621032,0.547704062467628
"disgruntlement",0.273766457184736,0.503586015681423
"disgust",0.453866518170793,0.450646474241621
"dislike",0.533390804727771,0.47781195989274
"dismay",0.342597402276611,0.340213759357616
"displeasure",0.286123616234534,0.392874975701457
"distraction",0.432226987190383,0.181547254736922
"distress",0.373811199047248,0.317255851510584
"dolefulness",-0.469033413012749,0.306896941119627
"doubt",-0.177448105480452,0.597999723131104
"dread",0.484916524384842,0.410068861806297
"eagerness",-0.0544588517456997,-0.843149295764323
"ecstasy",0.113333407599444,-1.07048137538236
"edginess",0.758142360519715,-0.215906415815968
"effervescence",-0.140549805769984,-0.692136036613801
"elation",-0.256678415356263,-0.800399424025263
"embarrassment",0.332905395819844,0.558884153839081
"enchantment",-0.217909020793342,-0.936500926345727
"encouragement",-0.441682267730113,-0.817620494644104
"enjoyment",-0.128544430124965,-1.11958829097549
"enthrallment",0.0957334791437978,-0.836185807485721
"enthusiasm",-0.0908604365487348,-0.933267433567935
"envy",0.941562085365031,-0.358048731387146
"euphoria",-0.0943622929872811,-1.02642451613665
"exasperation",0.56189742470676,-0.0451616598685534
"excitement",0.0371995749678596,-0.917938843276346
"exhaustion",-0.146881918526263,0.430396482938103
"exhilaration",0.300575851109024,-0.869803078296674
"exuberance",0.0761265130366413,-0.832044647582532
"exultation",0.139581672275439,-0.604292698032802
"fear",0.730405287000791,0.412098083923031
"ferocity",0.755383009420689,-0.218978012748085
"fervor",0.553097684342286,-0.2229432392018
"fierceness",0.778724926992667,-0.506112568599844
"fondness",-0.328381829115912,-0.86547951098109
"forgiveness",-0.913689940363537,-0.0364892482807637
"forlornness",-0.152221627437904,0.447627808934454
"freedom",-0.587986230029101,-0.793199986289203
"frenzy",0.829075462374086,-0.32919869537427
"fright",0.588532110991634,0.168209270614024
"frustration",0.58112236269511,0.368163169239895
"fury",0.807056020245653,-0.0347783456602245
"gaeity",-0.487692716842484,-0.631512520673424
"gladness",-0.326046500761255,-0.893963278391039
"glee",-0.237049853843954,-1.0785928991422
"gloom",-0.0379403422720503,0.765000211442394
"glumness",-0.207173133039069,0.624453208101383
"gratitude",-0.555250241288771,-0.803727488026619
"grief",0.0172152558821239,0.541112928548828
"grouchiness",0.490607889187464,0.438054845491556
"grumpiness",0.393932606219499,0.557808066844313
"guilt",0.0898305766189914,0.555358672068194
"happiness",-0.461279495502691,-0.947979227342844
"hate",0.912976551786669,0.173911186172027
"homesickness",-0.316007611576422,0.649244869553971
"hope",-0.477030892448439,-0.85447648741894
"hopelessness",-0.0458434575643631,0.62061107929277
"horror",0.888234457892283,0.163184968502391
"hostility",0.612768233252729,0.241187376835373
"humiliation",0.354030703688535,0.494924645029674
"hurt",0.351858556100949,0.499943500659474
"hysteria",0.495998726499192,0.064946903008021
"impatience",0.692681505885481,-0.124232915280241
"inclination",-0.148052945595403,-0.726489796025419
"inconsolableness",0.0822109830168074,0.396843524334313
"indecision",-0.197264074604704,0.468684409984434
"indignation",0.171075351471569,0.213766696395644
"infatuation",0.0843742877640996,-0.828140492163405
"insecurity",0.253746073465924,0.344005305310216
"insult",0.612860174738656,0.69675345918266
"intelligence",-0.752238760753413,-0.67401611404959
