"V1","V2","V3","V4"
"abandonment",0.39829065574489,0.629329957889945,0.233974561288622
"abhorrence",-0.303112877635684,-0.0205344594632238,0.207019362815702
"acceptance",0.812402329568461,-0.651617697238145,-0.384470937783869
"adoration",0.496215744413352,-0.911567973602115,-0.351556376579364
"affection",0.493755618492536,-0.792034909211799,-0.242197443987515
"aggravation",-0.35459133436064,0.0383767291826388,0.258672075873344
"agitation",-0.428264807245666,0.119777389205978,0.430305833453318
"agony",-0.239926315699415,0.395614310402619,0.193019086288295
"alarm",-0.742166363028443,-0.466154622280964,0.00944407676611658
"alertness",-0.604516074451565,-0.707755874707214,-0.309827017293074
"alienation",-0.211857017227107,0.342448749630264,0.200220097986549
"amazement",-0.0425732384675052,-1.07546180999122,-0.301133628347448
"amusement",-0.180224996340158,-1.09962865471238,-0.338008902752151
"anger",-0.460331926342258,0.0302304817460441,0.460246433826133
"anguish",-0.155935949000197,0.127269010564149,0.289535599542967
"annoyance",-0.538833100573096,-0.0145567995153154,0.10279464046292
"anxiety",-0.456999914327333,0.221839912955689,-0.0115952521254399
"apprehension",-0.2463581144651,-0.0211913067456709,-0.191025726328414
"approval",0.765293285200984,-0.826458533549859,-0.164547876545949
"arousal",-0.33553266291613,-0.946540201876806,-0.182556616665496
"astonishment",-0.192223343841099,-0.777923682651285,-0.301329990410354
"attraction",0.382410334125103,-1.13665349123378,-0.0942523068429969
"aversion",0.51515023993301,0.0173780663497101,0.367452535926734
"awe",0.377662472282367,-0.920427483533309,0.0730705367833279
"belligerence",0.457232638974825,0.146894790782011,0.107022375393078
"bitterness",0.13910990276298,0.283949606875613,0.457416426288136
"bliss",0.0952189388670549,-0.958455590716258,-0.669925786475848
"boredom",0.2925792970638,0.566991233683834,-0.476338859928449
"calmness",0.748826539342423,-0.186650928775496,-0.734583187325928
"carefreeness",0.254751853399792,-0.719136590442278,-0.561991899632641
"carefulness",0.705198985380874,-0.270684011203076,-0.456975149843276
"caring",0.922654781400646,-0.7233686958217,0.00456424096130092
"cheerfulness",0.243471433157181,-1.01471291095784,-0.567619437607025
"compassion",0.695292434868942,-0.577790269659582,-0.364235728664889
"complacency",0.533403659502376,0.0746840868104534,-0.413298753941472
"contempt",-0.282191963362535,0.0367823666390076,-0.566114465059571
"contentment",0.424421926431178,-0.600517348288213,-0.556103547401835
"craving",-0.424802621516982,-0.566880574502165,-0.45340430373762
"defeat",-0.14894294367389,0.307271015378146,-0.0182324245837408
"dejection",0.16750947124355,0.317743272034168,0.397864878592222
"deliberateness",-0.0804247663877983,-0.5515930749579,-0.459866090583475
"delight",0.413580586947264,-0.922620707066379,-0.537022790049898
"demoralization",0.0417976996663983,0.376049779209948,0.226918642758956
"depression",0.0187287291701288,0.55256610358455,-0.225194084210735
"desire",-0.12381512994653,-0.821786508872984,-0.413038133624968
"despair",0.0660710320021378,0.355883023891996,0.149493141971592
"despondency",0.331434692734041,0.227580834399768,0.033810207675574
"determination",0.318927953779772,-0.828510071090861,0.154103426555106
"disappointment",-0.0376749182081354,0.428465254498966,-0.0286828976293929
"discomfort",-0.19271193374525,0.346263594010424,0.0614510335299138
"disconsolateness",-0.00527140182483085,0.335872308217838,-0.0889482552189457
"discontentment",0.0749511952690273,0.304802455169612,0.0148631074379662
"discouragement",-0.151831512464772,0.376130992895771,0.0751207939965159
"disgruntlement",-0.198623722128466,0.354088540991736,0.154139392954502
"disgust",-0.0218675916817779,0.215996913428468,0.597903285687515
