Item,X,Y,Z
21M_DI_O,0.510678138,-0.430902279,0.443815481
21M_FE_C,0.371205109,0.436198168,-0.247192761
21M_FE_O,0.535883817,-0.39676157,0.44842265
21M_HA_C,-1.205950457,0.214312941,-0.938015619
21M_HA_O,0.396563499,-0.808218639,-0.830625825
21M_HA_X,0.007493285,-0.788033817,-0.611870367
21M_NE_C,0.488593995,0.294359372,-0.710750639
21M_NE_O,-0.238499678,0.633548863,-0.570507337
21M_SA_C,-0.03698066,0.648906143,0.479656822
21M_SA_O,-0.048688653,-0.50688785,0.155045596
21M_SP_O,-0.423841317,-1.193642372,0.281057306
25M_AN_C,-0.48109137,0.298802579,0.704753716
25M_AN_O,0.272003952,-0.367217624,0.481661484
25M_CA_C,-0.449551944,0.338248496,-0.58686189
25M_CA_O,0.749919634,0.216977438,-0.451442283
25M_DI_C,-0.647940106,0.364851371,0.437151671
25M_DI_O,0.248928986,-0.361199909,0.384415717
25M_FE_O,0.80703987,-0.18572739,0.239493058
25M_HA_C,0.635615749,-0.331823907,-0.7559868
25M_HA_O,-0.038798943,-0.241189799,-0.773596571
25M_HA_X,-0.791354955,-0.514451327,-0.852729225
25M_NE_C,0.072203715,0.440773451,-0.478222766
25M_SA_C,-0.52057091,0.312800835,0.53573407
25M_SA_O,0.49123885,0.054992767,0.667531243
25M_SP_O,0.187872153,-0.518498096,0.100737886
39M_AN_C,0.927224135,0.143513859,0.178324217
39M_AN_O,-0.602674069,-0.820636587,0.631884704
39M_CA_C,0.173799853,0.740997433,-0.262851145
39M_CA_O,0.004785488,0.369332034,-0.785514411
39M_DI_C,0.513176682,0.074519117,0.737925579
39M_DI_O,-0.088154369,-0.384876649,0.434082272
39M_FE_C,0.508140957,0.294065824,0.185930555
39M_FE_O,0.633668215,-0.282261761,0.446893935
39M_HA_C,-0.528091221,0.83647025,-0.140335821
39M_HA_O,-1.06906077,-0.459470299,-0.612272637
39M_HA_X,-0.699169987,-1.157536361,-0.684905598
39M_NE_C,-0.047559441,0.445989509,-0.711912803
39M_NE_O,0.12822845,0.579271534,-0.384914661
39M_SA_C,-0.168602375,0.70472525,0.166015961
39M_SA_O,0.487186472,-0.229445235,-0.047010523
39M_SP_O,0.295174301,-0.847830973,0.082401991
40M_AN_C,-0.110253563,0.325630649,0.967686951
40M_AN_O,-0.613374387,-0.321866303,0.958389648
40M_CA_C,-0.569995716,0.233844991,-0.638372798
40M_CA_O,-0.287443331,-0.666873307,-0.146436676
40M_DI_C,0.163770218,0.399428026,0.678394032
40M_DI_O,-0.191432957,-1.082396281,0.99202936
40M_FE_C,0.622382823,0.038259552,0.440651915
40M_FE_O,0.438203517,-0.538962448,0.647920513
40M_HA_C,0.270004235,0.262826688,-1.05527208
40M_HA_O,-0.736377948,-0.931736544,-0.840066411
40M_HA_X,-0.849161191,-1.262097052,-0.544640742
40M_NE_C,-0.40556757,0.37213698,-0.581800959
40M_NE_O,-0.920827259,0.054793141,-0.167372575
40M_SA_C,0.35414197,0.430531019,-0.120744615
40M_SA_O,0.16945622,-0.288199638,0.70164068
40M_SP_O,-0.583963668,-0.517739128,0.660833903
43M_AN_C,0.237674102,-0.109854829,0.564765965
43M_AN_O,-0.868964037,-0.666198237,0.519483675
43M_CA_C,-0.524788811,0.447576939,-0.64699936
43M_CA_O,0.737248506,0.276133014,-0.558867363
43M_DI_C,0.218428898,0.53180278,0.540414774
43M_DI_O,-0.489967242,-0.332719866,0.931913913
43M_FE_C,-0.044382555,0.521565741,0.746788386
43M_FE_O,-0.360997767,-0.091909593,0.561039068
43M_HA_C,-0.296197978,-0.142169105,-0.61225435
43M_HA_O,-0.443521177,-0.715980364,-0.844341153
43M_HA_X,0.272306251,-0.965332469,-0.854590831
43M_NE_C,-0.692802259,0.335303207,-0.750577403
43M_NE_O,-0.107038765,-0.279726343,-0.82099127
43M_SA_C,-0.576761215,0.199479761,0.316870654
43M_SA_O,0.785587326,0.205921446,-0.140248641
43M_SP_O,0.380396296,-0.353195475,0.567006075
