"V1","V2","V3","V4"
"anger",-0.460331926342258,0.0302304817460441,0.460246433826133
"sadness",0.297343765070169,0.513556254102844,0.0995744709743663
"happiness",0.423263858496926,-0.975173831227362,-0.491207714699839
"surprise",0.123023790364057,-1.07708244776091,0.365822018525563
"disgust",-0.0218675916817779,0.215996913428468,0.597903285687515
"fear",-0.287866481516519,0.193058027785514,0.624774965373181
"calmness",0.748826539342423,-0.186650928775496,-0.734583187325928
"alarm",-0.742166363028443,-0.466154622280964,0.00944407676611658
"gloom",0.0699321000748084,0.633330879852527,-0.0145299407910611
"boredom",0.2925792970638,0.566991233683834,-0.476338859928449
"amazement",-0.0425732384675052,-1.07546180999122,-0.301133628347448
"compassion",0.695292434868942,-0.577790269659582,-0.364235728664889
"joy",0.128259448689634,-1.10710863929036,-0.494346008989851
"revulsion",0.0648662339136824,-0.222180650369541,0.793943295432403
"fury",-0.12163298598681,-0.294860636941969,0.7633250093047
"anxiety",-0.456999914327333,0.221839912955689,-0.0115952521254399
"terror",0.242903599799716,-0.0500252893116375,0.855644964241542
